epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
314,3.51085,2.50903,1.00182,6.08238,4.85528,1.22710,82.5
315,3.52622,2.52342,1.00279,6.17900,4.94855,1.23045,82.2
316,3.50751,2.50997,0.99754,5.93476,4.69486,1.23991,82.0
317,3.45841,2.45903,0.99937,5.96306,4.70564,1.25742,82.4
318,3.47911,2.47828,1.00083,5.94989,4.72719,1.22270,81.8
319,3.54575,2.54352,1.00223,5.92543,4.69040,1.23503,81.7
320,3.48385,2.48542,0.99843,5.92164,4.69254,1.22910,81.5
321,3.47584,2.47532,1.00052,5.95405,4.72060,1.23345,81.3
322,3.43984,2.43925,1.00059,6.05033,4.81107,1.23926,81.2
323,3.48109,2.47897,1.00211,5.90555,4.68565,1.21990,81.2
324,3.47465,2.47575,0.99890,6.08408,4.86241,1.22168,81.4
325,3.50172,2.50132,1.00039,5.74261,4.51668,1.22593,80.9
326,3.44910,2.45390,0.99520,6.10484,4.86405,1.24079,81.4
327,3.39281,2.39421,0.99859,5.90530,4.66692,1.23838,86.8
328,3.45420,2.45392,1.00028,5.97268,4.71814,1.25454,84.2
329,3.46496,2.46785,0.99711,5.98748,4.75454,1.23295,81.7
330,3.43054,2.42978,1.00076,5.88462,4.64714,1.23749,81.1
331,3.42819,2.43091,0.99727,5.88075,4.64849,1.23226,81.6
332,3.34871,2.35324,0.99547,5.93370,4.70772,1.22598,81.1
333,3.40120,2.40267,0.99853,5.93871,4.70041,1.23830,81.5
334,3.39699,2.39886,0.99813,5.99339,4.76551,1.22789,81.8
335,3.46674,2.47015,0.99658,6.02263,4.79281,1.22982,81.6
336,3.38089,2.38503,0.99585,6.04254,4.79961,1.24293,81.4
337,3.40752,2.41127,0.99625,5.93470,4.70238,1.23231,82.1
338,3.37980,2.38260,0.99720,5.95082,4.71751,1.23330,81.2
339,3.44173,2.44315,0.99857,6.07109,4.84302,1.22807,81.5
340,3.47584,2.47892,0.99692,6.02568,4.78893,1.23675,81.5
341,3.39879,2.40088,0.99791,6.01808,4.78709,1.23098,81.6
342,3.42765,2.43412,0.99352,6.21102,4.97454,1.23648,81.9
343,3.41437,2.41913,0.99524,6.02886,4.78611,1.24274,82.0
